eventId,timeInPeriod,timeRemaining,situationCode,homeTeamDefendingSide,typeCode,typeDescKey,sortOrder,pptReplayUrl,periodNumber,periodType,xCoord,yCoord,zoneCode,shotType,scoringPlayerId,playerId,shootingPlayerId,goalieInNetId,hittingPlayerId,hitteePlayerId,winningPlayerId,losingPlayerId,homePlayersOnIce,awayPlayersOnIce,homePlayersCount,awayPlayersCount
102,00:00,20:00,1551,left,520,period-start,8,,1,REG,,,,,,,,,,,,,[],[],0,0
101,00:00,20:00,1551,left,502,faceoff,9,,1,REG,0.0,0.0,N,,,,,,,,8475158.0,8478519.0,[],[],0,0
8,00:35,19:25,1551,left,516,stoppage,15,,1,REG,,,,,,,,,,,,,"[8474568, 8474600, 8475158, 8477424, 8478508, 8482062]","[8474564, 8475167, 8476453, 8477992, 8478519, 8480246]",6,6
103,00:35,19:25,1551,left,502,faceoff,17,,1,REG,-69.0,22.0,D,,,,,,,,8478519.0,8476925.0,"[8474568, 8474600, 8475158, 8477424, 8478508, 8482062]","[8474564, 8475167, 8476453, 8477992, 8478519, 8480246]",6,6
9,00:48,19:12,1551,left,503,hit,20,,1,REG,64.0,42.0,D,,,,,,8474568.0,8476453.0,,,"[8474568, 8474600, 8476925, 8477424, 8478508, 8482062]","[8474564, 8476453, 8477992, 8478010, 8478178, 8479410]",6,6
104,00:58,19:02,1551,left,504,giveaway,21,,1,REG,57.0,30.0,D,,,8482062.0,,,,,,,"[8474568, 8474600, 8476925, 8477424, 8478508, 8482062]","[8474564, 8476453, 8477992, 8478010, 8478178, 8479410]",6,6
63,01:01,18:59,1551,left,506,shot-on-goal,22,,1,REG,59.0,-26.0,O,wrist,,,8478178.0,8477424.0,,,,,"[8474568, 8474600, 8476925, 8477424, 8478508, 8482062]","[8474564, 8476453, 8477992, 8478010, 8478178, 8479410]",6,6
151,01:10,18:50,1551,left,506,shot-on-goal,23,,1,REG,81.0,8.0,O,tip-in,,,8478010.0,8477424.0,,,,,"[8474568, 8474600, 8476925, 8477424, 8478508, 8482062]","[8474564, 8476453, 8477992, 8478010, 8478178, 8479410]",6,6
10,01:36,18:24,1551,left,503,hit,30,,1,REG,-43.0,-40.0,D,,,,,,8478416.0,8479996.0,,,"[8474679, 8475197, 8477424, 8478468, 8479996, 8480748]","[8475177, 8476822, 8477992, 8478416, 8479661, 8484325]",6,6
70,01:47,18:13,1551,left,506,shot-on-goal,31,,1,REG,55.0,30.0,O,snap,,,8479661.0,8477424.0,,,,,"[8474679, 8475197, 8477424, 8478468, 8479996, 8480748]","[8475177, 8476822, 8477992, 8478416, 8479661, 8484325]",6,6
11,01:49,18:11,1551,left,516,stoppage,32,,1,REG,,,,,,,,,,,,,"[8474679, 8475197, 8477424, 8478468, 8479996, 8480748]","[8475177, 8476822, 8477992, 8478416, 8479661, 8484325]",6,6
105,01:49,18:11,1551,left,502,faceoff,33,,1,REG,69.0,22.0,D,,,,,,,,8479996.0,8479661.0,"[8474679, 8475197, 8477424, 8478468, 8479996, 8480748]","[8475177, 8476822, 8477992, 8478416, 8479661, 8484325]",6,6
12,01:57,18:03,1551,left,503,hit,34,,1,REG,-5.0,-40.0,N,,,,,,8484325.0,8474679.0,,,"[8474679, 8475197, 8477424, 8478468, 8479996, 8480748]","[8475177, 8476822, 8477992, 8478416, 8479661, 8484325]",6,6
13,02:06,17:54,1551,left,503,hit,35,,1,REG,70.0,-39.0,D,,,,,,8474679.0,8476822.0,,,"[8474679, 8475197, 8477424, 8478468, 8479996, 8480748]","[8475177, 8476822, 8477992, 8478416, 8479661, 8484325]",6,6
1801,02:15,17:45,1551,left,503,hit,40,,1,REG,-66.0,-40.0,O,,,,,,8479996.0,8479661.0,,,"[8474151, 8477424, 8478851, 8479996, 8480748, 8481577]","[8475177, 8476822, 8477839, 8477992, 8478416, 8479661]",6,6
106,02:25,17:35,1551,left,525,takeaway,45,,1,REG,79.0,-27.0,D,,,8474151.0,,,,,,,"[8474151, 8477424, 8478438, 8478851, 8480748, 8481577]","[8475167, 8477426, 8477839, 8477992, 8479661, 8480246]",6,6
152,02:57,17:03,1551,left,506,shot-on-goal,48,,1,REG,58.0,-30.0,O,wrist,,,8479591.0,8477424.0,,,,,"[8474151, 8477424, 8478438, 8478851, 8481577, 8482146]","[8475167, 8477426, 8477839, 8477992, 8479591, 8480246]",6,6
14,03:32,16:28,1551,left,503,hit,58,,1,REG,44.0,-38.0,D,,,,,,8476887.0,8479542.0,,,"[8474568, 8474600, 8475158, 8476887, 8477424, 8481704]","[8475177, 8477353, 8477992, 8478416, 8478519, 8479542]",6,6
95,03:51,16:09,1551,left,507,missed-shot,60,,1,REG,-64.0,34.0,O,wrist,,,8476887.0,8477992.0,,,,,"[8474151, 8474600, 8476887, 8477424, 8478851, 8481704]","[8475177, 8477353, 8477992, 8478416, 8478519, 8479542]",6,6
202,04:20,15:40,1551,left,507,missed-shot,69,,1,REG,83.0,19.0,O,slap,,,8474564.0,8477424.0,,,,,"[8474151, 8476925, 8477424, 8478508, 8478851, 8482062]","[8474564, 8476453, 8477992, 8478010, 8478178, 8479410]",6,6
15,04:26,15:34,1551,left,503,hit,70,,1,REG,97.0,-2.0,D,,,,,,8476925.0,8478010.0,,,"[8474151, 8476925, 8477424, 8478508, 8478851, 8482062]","[8474564, 8476453, 8477992, 8478010, 8478178, 8479410]",6,6
16,04:50,15:10,1551,left,503,hit,78,,1,REG,61.0,40.0,O,,,,,,8474564.0,8480748.0,,,"[8475197, 8477424, 8478468, 8478508, 8479996, 8480748]","[8474564, 8475167, 8477992, 8478010, 8480246, 8484325]",6,6
108,05:21,14:39,1551,left,504,giveaway,86,,1,REG,-22.0,-14.0,N,,,8480246.0,,,,,,,"[8474568, 8474600, 8474679, 8477424, 8478438, 8480748]","[8475167, 8476822, 8477992, 8479661, 8480246, 8484325]",6,6
110,05:35,14:25,1551,left,525,takeaway,92,,1,REG,31.0,30.0,O,,,8477426.0,,,,,,,"[8474568, 8474600, 8477424, 8478438, 8481577, 8482146]","[8475177, 8477426, 8477839, 8477992, 8478416, 8479591]",6,6
17,05:53,14:07,1551,left,503,hit,93,,1,REG,96.0,-23.0,D,,,,,,8474568.0,8477426.0,,,"[8474568, 8474600, 8477424, 8478438, 8481577, 8482146]","[8475177, 8477426, 8477839, 8477992, 8478416, 8479591]",6,6
18,06:04,13:56,1551,left,503,hit,96,,1,REG,-35.0,-40.0,D,,,,,,8478416.0,8481577.0,,,"[8474151, 8477424, 8478438, 8478851, 8481577, 8482146]","[8475177, 8477426, 8477839, 8477992, 8478416, 8479591]",6,6
233,06:58,13:02,1551,left,508,blocked-shot,106,,1,REG,-80.0,-4.0,D,,,,8475158.0,,,,,,"[8475158, 8475197, 8476887, 8477424, 8478468, 8481704]","[8477353, 8477992, 8478178, 8478519, 8479410, 8479542]",6,6
19,07:13,12:47,1551,left,503,hit,112,,1,REG,-99.0,-8.0,O,,,,,,8478508.0,8475167.0,,,"[8475197, 8476925, 8477424, 8478468, 8478508, 8482062]","[8474564, 8475167, 8476453, 8477992, 8478010, 8480246]",6,6
239,07:15,12:45,1551,left,506,shot-on-goal,113,,1,REG,-75.0,-15.0,O,snap,,,8478508.0,8477992.0,,,,,"[8475197, 8476925, 8477424, 8478468, 8478508, 8482062]","[8474564, 8475167, 8476453, 8477992, 8478010, 8480246]",6,6
1802,07:18,12:42,1551,left,503,hit,114,,1,REG,-98.0,-11.0,O,,,,,,8476925.0,8480246.0,,,"[8475197, 8476925, 8477424, 8478468, 8478508, 8482062]","[8474564, 8475167, 8476453, 8477992, 8478010, 8480246]",6,6
111,07:25,12:35,1551,left,525,takeaway,116,,1,REG,30.0,6.0,D,,,8482062.0,,,,,,,"[8474600, 8476925, 8477424, 8478468, 8478508, 8482062]","[8474564, 8475167, 8476453, 8477992, 8478010, 8480246]",6,6
242,07:32,12:28,1551,left,508,blocked-shot,119,,1,REG,-66.0,18.0,D,,,,8474600.0,,,,,,"[8474568, 8474600, 8477424, 8478508, 8479996, 8482062]","[8474564, 8475167, 8476453, 8477992, 8478010, 8480246]",6,6
20,08:05,11:55,1551,left,503,hit,125,,1,REG,67.0,39.0,D,,,,,,8474568.0,8476822.0,,,"[8474568, 8474600, 8474679, 8477424, 8479996, 8480748]","[8474564, 8475177, 8476822, 8477992, 8478416, 8484325]",6,6
254,08:26,11:34,1551,left,506,shot-on-goal,132,,1,REG,-47.0,-25.0,O,snap,,,8480748.0,8477992.0,,,,,"[8474151, 8477424, 8478438, 8478851, 8480748, 8481577]","[8475177, 8476822, 8477992, 8478178, 8479661, 8484325]",6,6
112,08:42,11:18,1551,left,525,takeaway,136,,1,REG,-10.0,-3.0,N,,,8479661.0,,,,,,,"[8474151, 8477424, 8478438, 8478851, 8481577, 8482146]","[8477426, 8477992, 8478178, 8479410, 8479661, 8484325]",6,6
261,08:55,11:05,1551,left,507,missed-shot,139,,1,REG,62.0,-14.0,O,snap,,,8477426.0,8477424.0,,,,,"[8474151, 8477424, 8478438, 8478851, 8481577, 8482146]","[8477426, 8477839, 8477992, 8478178, 8479410, 8479591]",6,6
21,09:05,10:55,1551,left,503,hit,141,,1,REG,-41.0,34.0,D,,,,,,8478178.0,8478438.0,,,"[8475197, 8477424, 8478438, 8478468, 8481577, 8482146]","[8477426, 8477839, 8477992, 8478178, 8479410, 8479591]",6,6
113,09:11,10:49,1551,left,525,takeaway,142,,1,REG,90.0,-20.0,D,,,8478468.0,,,,,,,"[8475197, 8477424, 8478438, 8478468, 8481577, 8482146]","[8477426, 8477839, 8477992, 8478178, 8479410, 8479591]",6,6
22,09:20,10:40,1551,left,516,stoppage,144,,1,REG,,,,,,,,,,,,,"[8475158, 8475197, 8477424, 8478468, 8481577, 8482146]","[8477426, 8477839, 8477992, 8478178, 8479410, 8479591]",6,6
114,09:20,10:40,1551,left,502,faceoff,146,,1,REG,69.0,-22.0,D,,,,,,,,8475158.0,8478010.0,"[8475158, 8475197, 8477424, 8478468, 8481577, 8482146]","[8477426, 8477839, 8477992, 8478178, 8479410, 8479591]",6,6
266,09:24,10:36,1551,left,506,shot-on-goal,147,,1,REG,34.0,31.0,O,wrist,,,8475167.0,8477424.0,,,,,"[8475158, 8475197, 8477424, 8478468, 8481577, 8482146]","[8474564, 8475167, 8476453, 8477992, 8478010, 8480246]",6,6
154,09:48,10:12,1551,left,505,goal,151,https://wsr.nhle.com/sprites/20232024/2023020001/ev154.json,1,REG,50.0,-16.0,O,slap,8476453.0,,,8477424.0,,,,,"[8474568, 8474600, 8475158, 8476887, 8477424, 8481704]","[8474564, 8475167, 8476453, 8477992, 8478010, 8480246]",6,6
115,09:48,10:12,1551,left,502,faceoff,153,,1,REG,0.0,0.0,N,,,,,,,,8475158.0,8478519.0,"[8474568, 8474600, 8475158, 8476887, 8477424, 8481704]","[8474564, 8475167, 8476453, 8477992, 8478010, 8480246]",6,6
23,10:01,09:59,1551,left,503,hit,154,,1,REG,-41.0,39.0,D,,,,,,8477353.0,8476887.0,,,"[8474568, 8474600, 8475158, 8476887, 8477424, 8481704]","[8477353, 8477992, 8478178, 8478519, 8479410, 8479542]",6,6
273,10:03,09:57,1551,left,507,missed-shot,155,,1,REG,9.0,35.0,N,wrist,,,8477353.0,8477424.0,,,,,"[8474568, 8474600, 8475158, 8476887, 8477424, 8481704]","[8477353, 8477992, 8478178, 8478519, 8479410, 8479542]",6,6
24,10:06,09:54,1551,left,516,stoppage,156,,1,REG,,,,,,,,,,,,,"[8474568, 8474600, 8475158, 8476887, 8477424, 8481704]","[8477353, 8477992, 8478178, 8478519, 8479410, 8479542]",6,6
117,10:06,09:54,1551,left,502,faceoff,159,,1,REG,69.0,22.0,O,,,,,,,,8476822.0,8476925.0,"[8474568, 8474600, 8475158, 8476887, 8477424, 8481704]","[8477353, 8477992, 8478178, 8478519, 8479410, 8479542]",6,6
277,10:15,09:45,1551,left,506,shot-on-goal,160,,1,REG,34.0,-31.0,O,snap,,,8478416.0,8477424.0,,,,,"[8474151, 8476925, 8477424, 8478508, 8478851, 8482062]","[8475177, 8476822, 8477992, 8478416, 8479661, 8484325]",6,6
278,10:18,09:42,1551,left,508,blocked-shot,161,,1,REG,66.0,18.0,D,,,,8479661.0,,,,,,"[8474151, 8476925, 8477424, 8478508, 8478851, 8482062]","[8475177, 8476822, 8477992, 8478416, 8479661, 8484325]",6,6
280,10:37,09:23,1551,left,506,shot-on-goal,162,,1,REG,63.0,-22.0,O,wrist,,,8476822.0,8477424.0,,,,,"[8474151, 8476925, 8477424, 8478508, 8478851, 8482062]","[8475177, 8476822, 8477992, 8478416, 8479661, 8484325]",6,6
25,10:40,09:20,1551,left,516,stoppage,163,,1,REG,,,,,,,,,,,,,"[8474151, 8476925, 8477424, 8478508, 8478851, 8482062]","[8475177, 8476822, 8477992, 8478416, 8479661, 8484325]",6,6
118,10:40,09:20,1551,left,502,faceoff,166,,1,REG,69.0,-22.0,O,,,,,,,,8474564.0,8479996.0,"[8474151, 8476925, 8477424, 8478508, 8478851, 8482062]","[8475177, 8476822, 8477992, 8478416, 8479661, 8484325]",6,6
284,10:52,09:08,1551,left,508,blocked-shot,167,,1,REG,83.0,6.0,D,,,,8474564.0,,,,,,"[8474568, 8474600, 8474679, 8477424, 8479996, 8480748]","[8474564, 8476453, 8477992, 8478010, 8478178, 8479410]",6,6
285,11:02,08:58,1551,left,506,shot-on-goal,168,,1,REG,81.0,-13.0,O,wrist,,,8478010.0,8477424.0,,,,,"[8474568, 8474600, 8474679, 8477424, 8479996, 8480748]","[8474564, 8476453, 8477992, 8478010, 8478178, 8479410]",6,6
120,11:08,08:52,1551,left,525,takeaway,169,,1,REG,-7.0,-36.0,N,,,8479410.0,,,,,,,"[8474568, 8474600, 8474679, 8477424, 8479996, 8480748]","[8474564, 8476453, 8477992, 8478010, 8478178, 8479410]",6,6
26,11:10,08:50,1551,left,516,stoppage,170,,1,REG,,,,,,,,,,,,,"[8474568, 8474600, 8474679, 8477424, 8479996, 8480748]","[8474564, 8476453, 8477992, 8478010, 8478178, 8479410]",6,6
121,11:10,08:50,1551,left,502,faceoff,172,,1,REG,69.0,22.0,D,,,,,,,,8479996.0,8477426.0,"[8474568, 8474600, 8474679, 8477424, 8479996, 8480748]","[8474564, 8476453, 8477992, 8478010, 8478178, 8479410]",6,6
289,11:33,08:27,1551,left,506,shot-on-goal,174,,1,REG,35.0,-1.0,O,wrist,,,8475167.0,8477424.0,,,,,"[8474568, 8474600, 8477424, 8479996, 8480748, 8481577]","[8475167, 8477426, 8477839, 8477992, 8479591, 8480246]",6,6
27,11:35,08:25,1551,left,516,stoppage,175,,1,REG,,,,,,,,,,,,,"[8474568, 8474600, 8477424, 8479996, 8480748, 8481577]","[8475167, 8477426, 8477839, 8477992, 8479591, 8480246]",6,6
122,11:35,08:25,1551,left,502,faceoff,178,,1,REG,69.0,-22.0,D,,,,,,,,8475158.0,8478519.0,"[8474568, 8474600, 8477424, 8479996, 8480748, 8481577]","[8475167, 8477426, 8477839, 8477992, 8479591, 8480246]",6,6
28,11:39,08:21,1551,left,503,hit,179,,1,REG,81.0,-37.0,O,,,,,,8477353.0,8478468.0,,,"[8475158, 8475197, 8476887, 8477424, 8478468, 8481704]","[8475167, 8477353, 8477992, 8478519, 8479542, 8480246]",6,6
293,11:48,08:12,1551,left,506,shot-on-goal,180,,1,REG,92.0,30.0,O,snap,,,8479542.0,8477424.0,,,,,"[8475158, 8475197, 8476887, 8477424, 8478468, 8481704]","[8475167, 8477353, 8477992, 8478519, 8479542, 8480246]",6,6
123,11:57,08:03,1551,left,504,giveaway,181,,1,REG,30.0,22.0,O,,,8475167.0,,,,,,,"[8475158, 8475197, 8476887, 8477424, 8478468, 8481704]","[8475167, 8477353, 8477992, 8478519, 8479542, 8480246]",6,6
297,12:05,07:55,1551,left,509,penalty,182,,1,REG,-94.0,-13.0,D,,,,,,,,,,"[8475158, 8475197, 8476887, 8477424, 8478468, 8481704]","[8475167, 8477353, 8477992, 8478519, 8479542, 8480246]",6,6
124,12:05,07:55,1541,left,502,faceoff,186,,1,REG,-69.0,-22.0,D,,,,,,,,8476822.0,8475158.0,"[8475158, 8475197, 8476887, 8477424, 8478468, 8481704]","[8475167, 8477353, 8477992, 8478519, 8479542, 8480246]",6,6
29,12:28,07:32,1541,left,503,hit,187,,1,REG,-54.0,-40.0,D,,,,,,8478416.0,8475158.0,,,"[8474600, 8475158, 8476887, 8477424, 8478438, 8479996]","[8476822, 8477353, 8477992, 8478416, 8479410]",6,5
125,12:45,07:15,1541,left,504,giveaway,189,,1,REG,-34.0,-7.0,O,,,8478438.0,,,,,,,"[8474600, 8475158, 8476887, 8477424, 8478438, 8479996]","[8477992, 8478416, 8478519, 8479410, 8479542]",6,5
30,13:09,06:51,1541,left,503,hit,197,,1,REG,-98.0,-19.0,D,,,,,,8475177.0,8482146.0,,,"[8474679, 8475197, 8477424, 8481577, 8481704, 8482146]","[8475167, 8475177, 8477426, 8477992, 8479542]",6,5
359,13:15,06:45,1541,left,507,missed-shot,199,,1,REG,64.0,-13.0,O,snap,,,8477426.0,8477424.0,,,,,"[8474679, 8475197, 8477424, 8481577, 8481704, 8482146]","[8475167, 8475177, 8477426, 8477992, 8484325]",6,5
126,13:29,06:31,1541,left,525,takeaway,203,,1,REG,67.0,-33.0,O,,,8484325.0,,,,,,,"[8474679, 8475197, 8477424, 8481577, 8481704, 8482146]","[8476822, 8477992, 8478416, 8479410, 8484325]",6,5
