playerId,playerName,team,CF,CA,CF_plus_CA,Corsi_pct,Corsi_rel,TOI_events
8478519,Anthony Cirelli,TBL,14,5,19,73.7,19.2,19
8478416,Erik Cernak,TBL,15,6,21,71.4,16.9,21
8477353,Tyler Motte,TBL,6,3,9,66.7,12.2,9
8479542,Brandon Hagel,TBL,15,8,23,65.2,10.7,23
8477839,Conor Sheary,TBL,13,7,20,65.0,10.5,20
8478438,Tommy Novak,NSH,13,8,21,61.9,16.0,21
8478851,Alexandre Carrier,NSH,18,12,30,60.0,14.1,30
8479661,Tanner Jeannot,TBL,9,6,15,60.0,5.5,15
8475177,Calvin de Haan,TBL,13,9,22,59.1,4.6,22
8478508,Yakov Trenin,NSH,12,9,21,57.1,11.2,21
8479410,Mikhail Sergachev,TBL,19,15,34,55.9,1.4,34
8478468,Jeremy Lauzon,NSH,10,8,18,55.6,9.7,18
8476925,Colton Sissons,NSH,11,9,20,55.0,9.1,20
8478178,Darren Raddysh,TBL,19,16,35,54.3,-0.2,35
8477992,Jonas Johansson,TBL,41,35,76,53.9,-0.6,76
8482062,Cole Smith,NSH,8,7,15,53.3,7.4,15
8474151,Ryan McDonagh,NSH,16,16,32,50.0,4.1,32
8484325,Waltteri Merela,TBL,7,7,14,50.0,-4.5,14
8479591,Michael Eyssimont,TBL,7,7,14,50.0,-4.5,14
8480748,Kiefer Sherwood,NSH,6,6,12,50.0,4.1,12
8476822,Luke Glendening,TBL,7,7,14,50.0,-4.5,14
8476453,Nikita Kucherov,TBL,14,14,28,50.0,-4.5,28
8476887,Filip Forsberg,NSH,12,13,25,48.0,2.1,25
8477426,Nicholas Paul,TBL,6,7,13,46.2,-8.3,13
8477424,Juuse Saros,NSH,35,41,76,46.1,0.2,76
8478010,Brayden Point,TBL,14,17,31,45.2,-9.3,31
8481577,Philip Tomasino,NSH,6,8,14,42.9,-3.0,14
8474564,Steven Stamkos,TBL,11,15,26,42.3,-12.2,26
8474679,Gustav Nyquist,NSH,10,14,24,41.7,-4.2,24
8482146,Luke Evangelista,NSH,5,7,12,41.7,-4.2,12
8475197,Tyson Barrie,NSH,10,15,25,40.0,-5.9,25
8475167,Victor Hedman,TBL,9,14,23,39.1,-15.4,23
8480246,Nick Perbix,TBL,7,12,19,36.8,-17.7,19
8481704,Juuso Parssinen,NSH,8,14,22,36.4,-9.5,22
8474600,Roman Josi,NSH,10,18,28,35.7,-10.2,28
8474568,Luke Schenn,NSH,7,13,20,35.0,-10.9,20
8475158,Ryan O'Reilly,NSH,8,15,23,34.8,-11.1,23
8479996,Cody Glass,NSH,5,13,18,27.8,-18.1,18
